id,day,weather,humidity,training,time,bweight,aweight,water,temp,rtime
ygusk201801,2019-05-13,0,1111,サーキット,2.75,61.2,59.5,0.5,1111,20200105180218ygusk2
ygusk201801,2019-05-14,0,1111,エルゴ,2.5,60.8,60.5,0.5,1111,20200105180220ygusk2
ygusk201801,2019-05-15,0,1111,ウエイト,2.5,61.4,60.1,0.5,1111,20200105180223ygusk2
ygusk201801,2019-05-17,0,1111,フォームアップ,3.0,62.2,61.1,1.3,1111,20200105180226ygusk2
ygusk201801,2019-05-18,0,1111,登山ランニング,2.0,61.8,60.4,0.7,1111,20200105180228ygusk2
ygusk201801,2019-05-21,1,1111,エルゴ,3.0,61.4,60.0,0.65,1111,20200105180231ygusk2
ygusk201801,2019-05-22,1,1111,ウエイト,2.5,60.4,59.8,0.85,1111,20200105180233ygusk2
ygusk201801,2019-05-23,1,1111,イミテーション,2.75,61.2,60.4,0.75,1111,20200105180236ygusk2
ygusk201801,2019-05-27,1,1111,スプリント,2.5,60.4,59.0,0.85,1111,20200105180238ygusk2
ygusk201801,2019-05-28,2,1111,エルゴ,1.5,60.3,59.4,0.65,1111,20200105180241ygusk2
ygusk201801,2019-05-30,0,1111,ランニング,0.83,61.7,60.4,0.55,1111,20200105180243ygusk2
ygusk201801,2019-06-03,0,1111,イミテーション,2.5,61.0,60.1,0.7,1111,20200105180246ygusk2
ygusk201801,2019-06-04,0,1111,エルゴ,2.5,60.4,59.6,0.75,1111,20200105180249ygusk2
ygusk201801,2019-06-05,0,1111,ウエイト,2.5,61.0,60.4,0.75,1111,20200105180251ygusk2
ygusk201801,2019-06-06,0,1111,サーキット,2.0,61.0,60.0,0.75,1111,20200105180254ygusk2
ygusk201801,2019-06-07,0,1111,イミテーション,2.0,60.7,60.4,0.7,1111,20200105180256ygusk2
ygusk201801,2019-06-11,0,1111,エルゴMAX,2.5,60.7,59.9,0.65,1111,20200105180259ygusk2
ygusk201801,2019-06-12,0,1111,ウエイト,2.5,60.4,59.6,0.85,1111,20200105180301ygusk2
ygusk201801,2019-06-13,0,1111,サーキット,2.0,60.4,59.5,1.05,1111,20200105180304ygusk2
ygusk201801,2019-06-14,0,1111,登坂,2.5,60.6,59.7,0.85,1111,20200105180307ygusk2
ygusk201801,2019-06-15,0,1111,イミテーション,2.5,60.3,59.6,0.75,1111,20200105180309ygusk2
ygusk201801,2019-06-17,2,48,スプリントダッシュ,2.0,60.4,60.1,0.75,27,20200105180312ygusk2
ygusk201801,2019-06-18,1,55,ウエイト,1.5,60.2,59.9,0.65,26,20200105180314ygusk2
ygusk201801,2019-06-19,1,61,スライドボード,2.0,60.6,60.0,0.75,25,20200105180317ygusk2
ygusk201801,2019-06-20,2,58,エルゴ,1.5,61.4,60.0,0.7,25,20200105180320ygusk2
ygusk201801,2019-06-21,2,54,ランニング,2.0,60.5,59.6,0.65,25,20200105180322ygusk2
ygusk201801,2019-06-24,3,71,SAQ,2.5,60.9,59.8,0.85,25,20200105180325ygusk2
ygusk201801,2019-06-25,1,58,ウエイト,2.5,60.2,59.7,0.75,24,20200105180327ygusk2
ygusk201801,2019-06-26,1,52,エルゴ,2.5,60.8,59.8,0.85,24,20200105180330ygusk2
ygusk201801,2019-06-27,2,64,イミテーション,3.0,61.2,59.9,1.0,25,20200105180333ygusk2
ygusk201801,2019-06-28,1,73,登坂,3.0,60.9,59.9,0.95,31,20200105180336ygusk2
ygusk201801,2019-07-02,2,70,イミテーション,3.0,60.8,60.5,0.8,28,20200105180338ygusk2
ygusk201801,2019-07-03,2,63,エルゴ,2.5,60.4,59.9,0.95,24,20200105180341ygusk2
ygusk201801,2019-07-04,3,83,スライドボード,2.5,60.5,59.7,0.95,25,20200105180344ygusk2
ygusk201801,2019-07-05,2,1111,サーキット,2.0,60.5,59.8,1.05,1111,20200105180346ygusk2
ygusk201801,2019-07-08,2,1111,スプリントダッシュ,2.5,61.2,60.5,0.9,1111,20200105180349ygusk2
ygusk201801,2019-07-09,2,70,ウエイト,2.0,60.8,60.3,0.7,24,20200105180352ygusk2
ygusk201801,2019-07-10,2,61,エルゴ,2.0,60.6,59.0,1.05,24,20200105180354ygusk2
ygusk201801,2019-07-11,3,62,スライドボード,2.0,60.8,59.8,0.8,24,20200105180357ygusk2
ygusk201801,2019-07-12,1,75,イミテーション,2.0,60.3,59.9,0.85,31,20200105180359ygusk2
ygusk201801,2019-07-15,2,75,イミテーション,2.5,61.7,60.7,0.95,24,20200105180402ygusk2
ygusk201801,2019-07-16,3,68,ウエイト,2.5,60.6,60.1,0.85,23,20200105180405ygusk2
ygusk201801,2019-07-17,1,70,エルゴ,2.5,60.4,59.2,0.95,34,20200105180407ygusk2
ygusk201801,2019-07-18,3,80,スライドボード,2.5,60.2,59.8,0.95,24,20200105180410ygusk2
ygusk201801,2019-07-19,2,75,登坂,2.0,60.2,59.9,0.95,29,20200105180412ygusk2
ygusk201801,2019-07-22,3,70,イミテーション,2.5,61.5,60.5,1.05,30,20200105180415ygusk2
ygusk201801,2019-07-23,3,74,ウエイト,2.5,61.2,60.0,1.15,28,20200105180418ygusk2
ygusk201801,2019-07-24,1,57,エルゴ,2.5,61.2,60.0,0.85,25,20200105180420ygusk2
ygusk201801,2019-08-29,0,1111,未設定,1.0,60.8,60.6,0.4,1111,20200105180423ygusk2
ygusk201801,2019-08-30,0,1111,未設定,1.0,60.6,60.5,0.6,1111,20200105180425ygusk2
ygusk201801,2019-09-02,0,1111,未設定,1.0,60.7,60.4,0.4,1111,20200105180428ygusk2
ygusk201701,2019-05-17,0,1111,フォームアップ,2.75,57.1,56.7,0.8,1111,20200105182022ygusk2
ygusk201701,2019-06-01,0,1111,ロングロード,2.0,56.7,55.9,0.55,1111,20200105182025ygusk2
ygusk201701,2019-06-03,0,1111,イミテーション,2.0,56.5,56.0,0.95,1111,20200105182027ygusk2
ygusk201701,2019-06-05,0,1111,エルゴ,1.5,56.7,56.3,0.7,1111,20200105182030ygusk2
ygusk201701,2019-06-07,2,1111,イミテーション,2.0,57.2,56.9,1.0,1111,20200105182033ygusk2
ygusk201701,2019-06-08,0,1111,エルゴ,1.5,56.8,56.3,0.76,1111,20200105182035ygusk2
ygusk201701,2019-06-10,3,1111,イミテーション,2.0,55.8,55.8,0.85,1111,20200105182038ygusk2
ygusk201701,2019-06-11,0,1111,ウエイト,3.0,56.7,56.5,0.38,1111,20200105182040ygusk2
ygusk201701,2019-06-12,0,1111,エルゴ,2.5,57.0,56.6,0.35,1111,20200105182043ygusk2
ygusk201701,2019-06-13,1,1111,サークルサーキット,2.2,56.5,55.8,1.14,1111,20200105182045ygusk2
ygusk201701,2019-06-14,2,50,登坂ダッシュ,3.0,56.2,55.5,0.38,23,20200105182048ygusk2
ygusk201701,2019-06-15,3,70,イミテーション,3.0,56.4,55.4,0.96,17,20200105182051ygusk2
ygusk201701,2019-06-17,1,30,スプリント,2.0,55.5,55.5,0.76,26,20200105182053ygusk2
ygusk201701,2019-06-18,1,55,ウエイト,1.5,56.1,55.7,0.38,26,20200105182056ygusk2
ygusk201701,2019-06-19,1,66,スライドボード,2.0,55.9,55.5,0.58,25,20200105182058ygusk2
ygusk201701,2019-06-20,1,1111,エルゴ,1.5,56.2,55.5,0.4,1111,20200105182101ygusk2
ygusk201701,2019-06-21,2,55,ロングラン,2.0,56.3,55.6,0.4,27,20200105182104ygusk2
ygusk201701,2019-06-22,3,1111,ロング自転車,3.0,57.6,56.0,0.38,1111,20200105182106ygusk2
ygusk201701,2019-06-24,13,53,SAQ,2.0,56.2,55.8,0.76,23,20200105182109ygusk2
ygusk201701,2019-06-25,1,51,ウエイト,2.5,55.5,55.1,0.38,27,20200105182111ygusk2
ygusk201701,2019-06-26,1,52,エルゴ,2.5,56.1,55.3,0.45,24,20200105182114ygusk2
ygusk201701,2019-06-27,1,64,イミテーション,3.0,55.7,55.3,1.14,27,20200105182116ygusk2
ygusk201701,2019-06-28,1,73,登坂走,3.0,56.2,55.6,1.14,31,20200105182119ygusk2
ygusk201701,2019-06-29,5,62,エルゴ,1.5,56.1,55.2,0.38,24,20200105182121ygusk2
ygusk201701,2019-07-01,2,1111,イミテーション,2.5,56.9,56.3,0.8,1111,20200105182124ygusk2
ygusk201701,2019-07-02,2,63,ウエイト,3.0,56.3,56.1,0.38,24,20200105182127ygusk2
ygusk201701,2019-07-03,5,66,エルゴ,2.5,56.0,55.5,0.42,23,20200105182129ygusk2
ygusk201701,2019-07-04,5,74,スライドボード,2.5,55.5,55.0,0.76,26,20200105182132ygusk2
ygusk201701,2019-07-05,2,61,サークルサーキット,2.0,55.3,55.3,0.42,24,20200105182135ygusk2
ygusk201701,2019-07-09,2,72,ウエイト,2.0,55.0,54.4,0.3,24,20200105182137ygusk2
ygusk201701,2019-07-10,2,61,エルゴ,2.5,56.1,54.9,1.14,24,20200105182140ygusk2
ygusk201701,2019-07-11,5,70,スライドボード,2.5,55.6,55.1,0.42,23,20200105182142ygusk2
ygusk201701,2019-07-12,2,60,イミテーション,2.5,55.4,55.0,0.76,27,20200105182145ygusk2
ygusk201701,2019-07-15,2,70,イミテーション,2.5,55.5,55.1,0.78,26,20200105182147ygusk2
ygusk201701,2019-07-16,2,68,ウエイト,2.5,55.4,55.2,0.38,24,20200105182150ygusk2
ygusk201701,2019-07-17,5,68,エルゴ,2.5,55.4,55.2,0.78,24,20200105182152ygusk2
ygusk201701,2019-07-18,5,69,スライドボード,2.5,55.2,55.1,0.9,25,20200105182155ygusk2
ygusk201701,2019-07-19,5,65,サーキット,2.0,55.7,54.8,0.42,20,20200105182157ygusk2
ygusk201602,2019-05-15,0,1111,エルゴ,2.5,68.8,68.1,0.8,1111,20200105183324ygusk201602
ygusk201602,2019-05-17,1,1111,イミテーション,3.0,68.0,67.1,0.9,1111,20200105183327ygusk201602
ygusk201602,2019-05-23,1,1111,イミテーション,2.75,68.0,67.3,0.6,1111,20200105183329ygusk201602
ygusk201602,2019-05-24,1,1111,登坂走,2.5,68.3,67.7,0.6,1111,20200105183332ygusk201602
ygusk201602,2019-05-25,1,1111,エルゴ,1.5,68.3,67.5,0.7,1111,20200105183335ygusk201602
ygusk201602,2019-05-27,1,1111,スプリント,1.5,68.2,67.9,0.4,1111,20200105183337ygusk201602
ygusk201602,2019-05-29,0,1111,エルゴ,1.5,67.3,67.1,0.5,1111,20200105183340ygusk201602
ygusk201602,2019-05-31,0,1111,イミテーション,2.0,68.5,68.3,0.5,1111,20200105183342ygusk201602
ygusk201602,2019-07-04,2,81,スライドボード,2.5,68.7,68.0,0.7,26,20200105183345ygusk201602
ygusk201602,2019-07-05,2,1111,サーキット,2.0,69.0,68.4,0.65,1111,20200105183348ygusk201602
ygusk201602,2019-07-08,2,1111,スプリント,1.5,67.9,67.6,0.4,1111,20200105183350ygusk201602
ygusk201602,2019-07-10,1,60,エルゴ,2.0,69.5,69.0,0.7,24,20200105183353ygusk201602
ygusk201602,2019-07-11,3,70,スライドボード,2.5,69.6,68.8,0.4,24,20200105183355ygusk201602
ygusk201602,2019-07-12,2,60,イミテーション,2.5,68.9,68.2,1.0,27,20200105183358ygusk201602
ygusk201602,2019-07-15,2,76,イミテーション,2.0,68.9,68.6,0.6,25,20200105183400ygusk201602
ygusk201602,2019-07-16,3,70,ウエイト,2.5,68.4,68.4,0.5,24,20200105183403ygusk201602
ygusk201602,2019-07-17,1,67,エルゴ,2.5,68.2,68.2,0.9,23,20200105183406ygusk201602
ygusk201602,2019-07-18,3,73,スライドボード,2.5,69.1,68.8,0.7,25,20200105183408ygusk201602
ygusk201602,2019-07-19,3,90,登坂走,2.0,69.3,68.5,0.5,29,20200105183411ygusk201602
ygusk201602,2019-07-22,1,60,イミテーション,2.0,68.0,67.4,0.5,25,20200105183413ygusk201602
ygusk201602,2019-07-23,3,72,ウエイト,2.5,68.5,67.7,0.5,24,20200105183416ygusk201602
ygusk201602,2019-07-24,1,57,エルゴ,2.0,68.3,67.4,0.6,26,20200105183419ygusk201602
ygusk201601,2019-05-13,0,1111,サーキット,2.75,68.3,66.7,0.7,1111,20200105184001ygusk201601
ygusk201601,2019-05-14,0,1111,エルゴ,2.5,67.3,67.5,0.7,1111,20200105184004ygusk201601
ygusk201601,2019-05-15,0,1111,ウエイト,2.5,67.7,66.5,0.7,1111,20200105184006ygusk201601
ygusk201601,2019-05-17,0,1111,フォームアップ,3.0,67.6,66.9,1.0,1111,20200105184009ygusk201601
ygusk201601,2019-05-18,0,1111,登山ランニング,2.0,68.1,66.9,1.0,1111,20200105184012ygusk201601
ygusk201601,2019-05-21,1,1111,エルゴ,3.0,67.7,67.4,0.95,1111,20200105184014ygusk201601
ygusk201601,2019-05-22,1,1111,ウエイト,2.5,68.5,67.9,1.0,1111,20200105184017ygusk201601
ygusk201601,2019-05-27,1,1111,スプリント,2.5,68.4,66.5,0.9,1111,20200105184019ygusk201601
ygusk201601,2019-05-28,2,1111,エルゴ,1.5,68.5,67.4,0.6,1111,20200105184022ygusk201601
ygusk201601,2019-06-03,0,1111,不明,2.5,67.4,66.4,0.7,1111,20200105184025ygusk201601
ygusk201601,2019-06-04,0,1111,不明,2.5,66.3,66.2,0.8,1111,20200105184027ygusk201601
ygusk201601,2019-06-06,0,1111,不明,1.5,68.3,67.4,0.5,1111,20200105184030ygusk201601
ygusk201601,2019-06-07,0,1111,不明,2.0,67.1,67.1,1.5,1111,20200105184032ygusk201601
ygusk201601,2019-06-08,0,1111,不明,1.5,67.4,67.4,1.2,1111,20200105184035ygusk201601
ygusk201601,2019-06-10,0,1111,不明,2.0,67.8,66.8,0.5,1111,20200105184037ygusk201601
ygusk201601,2019-07-11,2,62,スライドボード,2.5,68.7,67.5,1.0,24,20200105184040ygusk201601
ygusk201601,2019-07-12,1,60,イミテーション,2.5,68.3,67.2,1.5,37,20200105184043ygusk201601
ygusk201601,2019-07-16,3,71,エルゴ,2.5,67.8,67.6,0.7,23,20200105184045ygusk201601
ygusk201601,2019-07-22,3,60,フォームアップ,2.5,69.1,68.7,1.5,25,20200105184048ygusk201601
ygusk201601,2019-07-23,3,72,ウエイト,2.5,68.5,67.7,1.0,24,20200105184050ygusk201601
ygusk201601,2019-07-24,1,57,エルゴ,2.5,68.1,67.7,0.5,25,20200105184053ygusk201601
